Account,date,long_count,short_count,long_short_ratio,bias
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,58,0,10.0,Long Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,31,0,10.0,Long Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,40,18,2.222,Long Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,0,251,0.0,Short Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,0,42,0.0,Short Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,0,78,0.0,Short Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,171,57,3.0,Long Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,237,42,5.643,Long Biased
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,19,108,0.176,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,0,3,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,0,1,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,74,417,0.177,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,0,108,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,0,273,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,0,438,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,0,292,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,0,361,0.0,Short Biased
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,0,233,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,22,29,0.759,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,19,30,0.633,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,42,26,1.615,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,68,24,2.833,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,157,32,4.906,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,165,35,4.714,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,152,50,3.04,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,52,23,2.261,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,28,5,5.6,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,37,46,0.804,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,83,12,6.917,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,38,36,1.056,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,62,25,2.48,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,25,35,0.714,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,14,35,0.4,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,13,38,0.342,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,2,37,0.054,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,0,34,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,0,35,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,4,28,0.143,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,1,36,0.028,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,0,41,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,0,49,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,0,32,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,0,30,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,7,45,0.156,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,2,50,0.04,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,0,31,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,0,16,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,0,28,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,0,28,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,0,23,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,0,24,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,9,13,0.692,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,15,27,0.556,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,3,28,0.107,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,5,14,0.357,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,6,1,6.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1,26,0.038,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,0,24,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,6,6,1.0,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,12,21,0.571,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,4,13,0.308,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,1,15,0.067,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,13,9,1.444,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,20,27,0.741,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,2,13,0.154,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,0,52,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,8,18,0.444,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,5,27,0.185,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,0,35,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,0,59,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,0,14,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,35,5,7.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,43,2,21.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,18,23,0.783,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,14,5,2.8,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,19,3,6.333,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,36,1,36.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,0,7,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,2,8,0.25,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,2,53,0.038,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,4,24,0.167,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,49,89,0.551,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,9,66,0.136,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,24,23,1.043,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,8,20,0.4,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,10,41,0.244,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-23,31,18,1.722,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-24,34,8,4.25,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-25,38,1,38.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-26,51,2,25.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-27,124,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-28,63,2,31.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-29,19,2,9.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-30,17,4,4.25,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-31,8,1,8.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,19,1,19.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,69,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,18,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,27,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-05,42,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-06,27,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-07,5,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-08,17,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-09,6,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-10,11,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-11,20,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-12,15,2,7.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-13,16,2,8.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-14,1,4,0.25,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-16,2,3,0.667,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-17,6,2,3.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-18,17,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,8,2,4.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-20,6,6,1.0,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-21,5,25,0.2,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-22,25,15,1.667,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-23,7,8,0.875,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-24,12,4,3.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-25,28,1,28.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-26,7,9,0.778,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-27,11,5,2.2,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-28,51,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,18,4,4.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,3,8,0.375,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,32,5,6.4,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,30,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-05,4,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-06,6,2,3.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-07,25,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-08,21,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-09,30,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-10,15,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-11,16,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-12,5,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-13,6,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-16,9,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-17,2,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-18,5,3,1.667,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-19,0,1,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-20,6,2,3.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-21,9,2,4.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-22,5,2,2.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-23,0,1,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-24,11,3,3.667,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-25,17,1,17.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-26,12,2,6.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-27,25,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-28,36,1,36.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-29,10,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-30,31,2,15.5,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-31,37,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,7,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,13,1,13.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,64,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,30,5,6.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-05,18,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-06,36,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-07,28,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-08,7,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-09,8,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-10,2,1,2.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-11,3,2,1.5,Balanced
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-13,1,0,10.0,Long Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-14,0,3,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-15,0,5,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-16,0,6,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-17,0,2,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-18,0,1,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-19,0,2,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-21,0,1,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-22,0,3,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-23,0,3,0.0,Short Biased
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-28,0,3,0.0,Short Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-31,6,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-01,6,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-06,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-08,5,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-13,3,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-14,55,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-15,11,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-16,9,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-18,7,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-20,26,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-21,7,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-22,26,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-29,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-30,4,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-02,23,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-03,33,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-04,12,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-05,3,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-06,5,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-10,5,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-11,9,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,23,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-13,14,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-17,4,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-20,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-23,6,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-24,5,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-30,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-31,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-10,11,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-11,4,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-15,3,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-17,19,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-18,0,1,0.0,Short Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-19,28,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-20,52,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-21,9,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-22,129,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-23,37,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-24,12,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-25,20,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-30,9,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-31,17,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-01,5,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-06,17,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-07,47,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-13,115,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-15,15,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-20,8,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-21,34,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-25,6,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-26,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-05,31,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-06,4,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-07,2,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-11,3,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-13,16,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-21,21,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-23,6,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-25,139,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-26,16,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-01,5,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-02,3,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-03,7,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-11,11,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-14,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-18,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-23,1,0,10.0,Long Biased
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-25,1,0,10.0,Long Biased
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-05-01,3,0,10.0,Long Biased
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-11,2,0,10.0,Long Biased
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-16,4,0,10.0,Long Biased
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-06,0,19,0.0,Short Biased
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-07,0,40,0.0,Short Biased
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-09,0,30,0.0,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-11-12,2,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-11-20,1,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-01,0,1,0.0,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-03,0,1,0.0,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-05,3,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-06,4,15,0.267,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-10,2,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-13,7,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-12-20,0,1,0.0,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-01-14,0,3,0.0,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-01-20,1,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-23,5,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-04,26,0,10.0,Long Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-12,0,39,0.0,Short Biased
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-03-17,0,98,0.0,Short Biased
